seed,student,route,weighting,kl_teacher_to_student_T4,js_T4,l1_T4,hard_agreement_T1,top2_overlap_T1,margin_abs_error_T1,teacher_correct_student_wrong_rate,teacher_wrong_student_correct_rate,macro_class_hard_agreement_T1,macro_class_kl_T4
789,student_A,rf_kd,exact_group_balanced,0.019561645889385318,0.005312324607787126,0.06611896729415044,0.9890907077195703,0.9503267249972311,0.019181845289333522,0.009949422232067044,0.0009598700483626833,0.9380936592481468,0.09332219664617479
789,student_A,rf_kd,row_weighted,0.025417418721807992,0.007043453523721669,0.07597935433089509,0.9854176657608213,0.9512264435800429,0.028820713070588855,0.013569918829150459,0.001012415410028241,0.9250438646400012,0.11769249124905856
789,student_A,scratch,exact_group_balanced,0.32935514794575343,0.05682013875162557,0.4360705364833458,0.986986377228929,0.8323919223243622,0.1254190787822748,0.01199837560453354,0.0010152471665374535,0.9519837604978283,0.5242376930332073
789,student_A,scratch,row_weighted,0.3293447162672074,0.057809748342503395,0.44159884629090085,0.9848670538711568,0.8342480595371308,0.13090154176084803,0.014013960675654073,0.0011189854531891085,0.9474817501915302,0.5370967733500548
789,student_B,rf_kd,exact_group_balanced,0.01770812675787361,0.004795918347938253,0.06202742700059497,0.990862775501163,0.9531971056226234,0.014441148646982182,0.008177354450474397,0.0009598700483626833,0.9430577724492408,0.08205304982473557
789,student_B,rf_kd,row_weighted,0.022590566756559207,0.006249999032801181,0.07062177291484893,0.9883838652954654,0.9541127155823165,0.020187137632794384,0.010603719294506314,0.001012415410028241,0.9383344422033625,0.1011906557672269
789,student_B,scratch,exact_group_balanced,0.2146844942952614,0.045253464911569605,0.3911459462113328,0.9910658249344704,0.8249160113707683,0.11111560435458859,0.007900468859600546,0.0010152471665374535,0.9599417722747743,0.5076878671718014
789,student_B,scratch,row_weighted,0.2163667041346927,0.04614422337115854,0.39527394649502146,0.989431804053214,0.8255981243672403,0.11462003492139203,0.009466972167457061,0.0010834621054688193,0.9570299879048457,0.5105548660394559
1001,student_A,rf_kd,exact_group_balanced,0.018424011105522036,0.004950896216740877,0.0669341817830281,0.9900690368073245,0.9603315243474729,0.017511555560972947,0.008915716026138,0.0009967881271458633,0.9417928706311809,0.09160108984859039
1001,student_A,rf_kd,row_weighted,0.02378972532398706,0.006528330493024774,0.07615349758396757,0.98770892168878,0.9605424415196888,0.02508516860787441,0.01124313955347152,0.0010301770838883856,0.9377560974542725,0.1129979554243197
1001,student_A,scratch,exact_group_balanced,0.186293937461526,0.04276445760251323,0.3976717375953352,0.9896813969801012,0.8826281980285746,0.11407328707018137,0.009414110089710931,0.0008675748514047329,0.9521612613110497,0.37384695519452027
1001,student_A,scratch,row_weighted,0.1899492058139406,0.043945595334941696,0.40261278761970476,0.9881884868830039,0.8810589509955418,0.11967442856249329,0.010870144402408483,0.0009058453668673736,0.952101669359499,0.3869498121369137
1001,student_B,rf_kd,exact_group_balanced,0.01338072626114706,0.00356078600103843,0.054541761062954976,0.9932255325432865,0.9683242884040315,0.011656472524256589,0.00586997452652564,0.0008860338907963229,0.959931942513861,0.06934165069425272
1001,student_B,rf_kd,row_weighted,0.017413447891375194,0.004748948460767711,0.062027215734777735,0.9913323031562494,0.9682865313227118,0.015555537510001544,0.007726328129162892,0.0009236070407275182,0.9567177439527965,0.08463351262968014
1001,student_B,scratch,exact_group_balanced,0.21343149862844432,0.043702820266944734,0.39424973484454084,0.991305792446561,0.8774688965186251,0.10338214501329566,0.007678960386901466,0.0009783290877542733,0.9608812768586812,0.5110361280100293
1001,student_B,scratch,row_weighted,0.21494279065511082,0.044612728442899284,0.39832487883703205,0.9899824159428785,0.876041278130051,0.1072145417761669,0.008951883625512868,0.0010301770838883856,0.9599742289851163,0.515333961210447
2024,student_A,rf_kd,exact_group_balanced,0.015891388481035124,0.0043251208140111675,0.060672892661230014,0.9899029054528002,0.965823088566471,0.017371419907210632,0.00913722449883708,0.0009598700483626833,0.9381805341217395,0.08109375567878659
2024,student_A,rf_kd,row_weighted,0.02106315805410756,0.005855976383340102,0.06962380497201512,0.9871938331468357,0.9607733432798707,0.025395089818213815,0.011758228095415713,0.0010479387577485301,0.9331711676859447,0.10244836698515274
