view,seed,category,student,route,class_id,class_name,precision,recall,f1,support
pure_group_representative,42,student,student_A,D_Small_MLP,1,Flooding,0.8690036900369004,0.9936708860759493,0.9271653543307087,474.0
pure_group_representative,42,student,student_A,D_Small_MLP,2,Grayhole,0.7667447306791569,0.8661375661375661,0.8134161490683229,1890.0
pure_group_representative,42,student,student_A,D_Small_MLP,3,Normal,0.9988032211606727,0.9886160579838176,0.9936835307650395,49807.0
pure_group_representative,42,student,student_A,D_Small_MLP,4,TDMA,0.9375629405840886,0.9423076923076923,0.9399293286219081,988.0
row_level,42,student,student_A,E_KD_from_RF,0,Blackhole,0.7734417344173442,0.8974842767295598,0.8308588064046579,1590.0
row_level,42,student,student_A,E_KD_from_RF,1,Flooding,0.8931159420289855,0.9959595959595959,0.941738299904489,495.0
row_level,42,student,student_A,E_KD_from_RF,2,Grayhole,0.8868217054263566,0.798510935318753,0.8403525954946132,2149.0
row_level,42,student,student_A,E_KD_from_RF,3,Normal,0.9985885120564595,0.9974153123164284,0.9980015673981191,51070.0
row_level,42,student,student_A,E_KD_from_RF,4,TDMA,0.9812304483837331,0.9438314944834504,0.9621676891615542,997.0
inverse_test_group_size,42,student,student_A,E_KD_from_RF,0,Blackhole,0.7368845843422125,0.8995073891625615,0.810115350488022,1014.9999999999998
inverse_test_group_size,42,student,student_A,E_KD_from_RF,1,Flooding,0.8888888888888888,0.9957805907172996,0.9393034825870646,474.0
inverse_test_group_size,42,student,student_A,E_KD_from_RF,2,Grayhole,0.9090909090909091,0.82010582010582,0.8623087621696801,1890.0000000000002
inverse_test_group_size,42,student,student_A,E_KD_from_RF,3,Normal,0.9985728356348872,0.9974100026100748,0.9979910803969625,49807.00000000006
inverse_test_group_size,42,student,student_A,E_KD_from_RF,4,TDMA,0.9810526315789474,0.9433198380566802,0.9618163054695562,988.0
pure_group_representative,42,student,student_A,E_KD_from_RF,0,Blackhole,0.7368845843422115,0.8995073891625616,0.8101153504880213,1015.0
pure_group_representative,42,student,student_A,E_KD_from_RF,1,Flooding,0.8888888888888888,0.9957805907172996,0.9393034825870646,474.0
pure_group_representative,42,student,student_A,E_KD_from_RF,2,Grayhole,0.9090909090909091,0.8201058201058201,0.8623087621696801,1890.0
