view,family,seed,left_route,right_route,left_macro_f1,right_macro_f1,macro_f1_delta,class_0_Blackhole_f1_delta,class_1_Flooding_f1_delta,class_2_Grayhole_f1_delta,class_3_Normal_f1_delta,class_4_TDMA_f1_delta
inverse_test_group_size,teacher,2024,C_CL_MLP_loss_fair,B_Full_MLP,0.9146661705550599,0.9197789763029436,-0.005112805747883642,-0.010936431989063577,-0.004631610348116544,-0.01027591349739021,-0.00020159525947138768,0.00048152235462362025
inverse_test_group_size,teacher,3141,C_CL_MLP_loss_fair,B_Full_MLP,0.9221662669055952,0.9256802232443715,-0.0035139563387762696,-0.010454515241068774,0.003679720122982122,-0.009357733025454618,0.0,-0.0014372535503400785
inverse_test_group_size,teacher,5678,C_CL_MLP_loss_fair,B_Full_MLP,0.9142451593687516,0.9200485376057227,-0.00580337823697108,-0.017243649620067414,-0.0018471412358627148,-0.012447354869023264,0.00012096444495179881,0.002400290095146307
inverse_test_group_size,teacher,8192,C_CL_MLP_loss_fair,B_Full_MLP,0.913325398391024,0.9221905111023094,-0.008865112711285428,-0.023297837089165108,0.0018471412358627148,-0.022364058434869327,-3.0292147187971352e-05,-0.00048051712106766953
inverse_test_group_size,teacher,9999,C_CL_MLP_loss_fair,B_Full_MLP,0.9120362526088697,0.9236855863570582,-0.01164933374818855,-0.02482099910723834,-0.003578112148818202,-0.03001603597073843,-0.00031255476531444337,0.0004810332511654414
inverse_test_group_size,teacher,42,C_CL_MLP_loss_ext,B_Full_MLP,0.9168028967827595,0.9206774954437066,-0.0038745986609470817,-0.0104233575219429,0.002767976698953234,-0.01116353823348959,-7.061444162981267e-05,-0.0004834598066264517
inverse_test_group_size,teacher,123,C_CL_MLP_loss_ext,B_Full_MLP,0.9203541519066682,0.9192202189382603,0.0011339329684079136,-0.0016058422804342554,0.0007866196771744161,0.005523390494073688,0.0,0.0009654969512258305
inverse_test_group_size,teacher,456,C_CL_MLP_loss_ext,B_Full_MLP,0.9179591121908744,0.9203926605193598,-0.002433548328485302,-0.00801460520310382,0.006278000814569085,-0.010918906062771794,1.0138511129853534e-05,0.0004776302977501645
inverse_test_group_size,teacher,789,C_CL_MLP_loss_ext,B_Full_MLP,0.9158387806757172,0.9202930226918022,-0.004454242016085019,-0.010857307946803507,-0.0009244841398087233,-0.012312076961334295,-9.076869587976155e-05,0.0019134276634009684
inverse_test_group_size,teacher,1001,C_CL_MLP_loss_ext,B_Full_MLP,0.9219716300808664,0.9219124992620321,5.9130818834240984e-05,0.0020597068145573605,-0.00644592369462238,-0.0015338291756463729,4.0370389023158815e-05,0.00617532976085966
inverse_test_group_size,teacher,2024,C_CL_MLP_loss_ext,B_Full_MLP,0.9173516437269894,0.9197789763029436,-0.0024273325759541775,0.0003604902667626586,-0.009217678804904539,-0.0016866500766661296,-0.00015118884404230482,-0.0014416354209204618
inverse_test_group_size,teacher,3141,C_CL_MLP_loss_ext,B_Full_MLP,0.9214127662785296,0.9256802232443715,-0.004267456965841854,-0.013169824615247627,0.005530520878595069,-0.017250069156045544,0.000181421132293913,0.00337066693119481
inverse_test_group_size,teacher,5678,C_CL_MLP_loss_ext,B_Full_MLP,0.9142098767057589,0.9200485376057227,-0.005838660899963766,-0.01600593938761763,-0.0036869959185268364,-0.014423020474489845,0.00016127944124699756,0.00476137183956904
inverse_test_group_size,teacher,8192,C_CL_MLP_loss_ext,B_Full_MLP,0.9165389556628385,0.9221905111023094,-0.005651555439470934,-0.015208894935906048,0.0009226570960539915,-0.011610584249516331,-2.021208030200672e-05,-0.0023407430276835006
inverse_test_group_size,teacher,9999,C_CL_MLP_loss_ext,B_Full_MLP,0.9221372681888305,0.9236855863570582,-0.001548318168227758,0.0021809998154183052,-0.0018581524964496055,-0.0073722055186606905,-0.00021168774891311415,-0.0004805448925347955
inverse_test_group_size,student_A,42,E_KD_from_RF,D_Small_MLP,0.9143069962222571,0.9061902239085473,0.008116772313709775,-0.04664140626873581,0.012138128256355962,0.04889261310135695,0.0043075496319230355,0.021886976847648065
inverse_test_group_size,student_A,123,E_KD_from_RF,D_Small_MLP,0.9135071717210461,0.9133840501216884,0.0001231215993576784,-0.03244210426749483,0.015624421921702658,-0.000636880266509432,0.0011190471219771903,0.01695112348711214
inverse_test_group_size,student_A,456,E_KD_from_RF,D_Small_MLP,0.9157387506101674,0.913591551108952,0.0021471995012154466,-0.02419403419546806,0.00649715847639265,0.014224362053735118,0.00155366794691858,0.012654843224499168
inverse_test_group_size,student_A,789,E_KD_from_RF,D_Small_MLP,0.9104325653099549,0.9145246717807705,-0.004092106470815593,-0.05281281461804854,0.010169624319348092,-0.0017106019489393498,0.0025846466577789107,0.021308613235783147
inverse_test_group_size,student_A,1001,E_KD_from_RF,D_Small_MLP,0.9175301574784838,0.9172472539773684,0.00028290350111537244,-0.028425559947299117,0.01441888695219129,-0.010676233992862882,0.0009778716038167934,0.02511955288973078
inverse_test_group_size,student_A,2024,E_KD_from_RF,D_Small_MLP,0.9157728872695277,0.9148362783742531,0.0009366088952745821,-0.03317627678480117,0.011971351478957448,0.0010937927262787417,0.0012403083692286154,0.02355386868670961
inverse_test_group_size,student_A,3141,E_KD_from_RF,D_Small_MLP,0.9171182180120525,0.9119944117850907,0.005123806226961847,-0.009764824754118218,0.005440687841519298,0.0022317966529344924,0.0010887317783431216,0.02662263961613065
inverse_test_group_size,student_A,5678,E_KD_from_RF,D_Small_MLP,0.9177902741347236,0.9252336606016843,-0.007443386466960744,-0.047415475548782116,0.004650017240529936,-0.01581252733758043,0.0009983352210380936,0.020362718089990905
inverse_test_group_size,student_A,8192,E_KD_from_RF,D_Small_MLP,0.9163587604156753,0.9066555038276043,0.00970325658807103,-0.02623880850395377,0.0027955460791281306,0.043802805905096553,0.003010389151841597,0.025146350308242305
inverse_test_group_size,student_A,9999,E_KD_from_RF,D_Small_MLP,0.9144536727097439,0.9172615025119463,-0.0028078298022023995,-0.02952155991850447,0.0035935466056565835,-0.007290478613229512,0.0006450081331482727,0.018534334781917017
inverse_test_group_size,student_A,42,E2_KD_from_MLP,D_Small_MLP,0.9171429472713133,0.9061902239085473,0.010952723362765981,-0.021097143969724064,0.009342582177227832,0.06195718788524718,0.003551399605479899,0.001009591115598174
inverse_test_group_size,student_A,123,E2_KD_from_MLP,D_Small_MLP,0.9165252110763891,0.9133840501216884,0.003141160954700628,-0.008518625303834293,0.011900721296976946,0.007309616453585632,0.0007560711668535003,0.004258021159921022
inverse_test_group_size,student_A,456,E2_KD_from_MLP,D_Small_MLP,0.9142358304619019,0.913591551108952,0.0006442793529499724,-0.012553076237571514,0.0,0.019088639289804865,0.0009888837583013066,-0.004303050045785239
inverse_test_group_size,student_A,789,E2_KD_from_MLP,D_Small_MLP,0.9135182624270095,0.9145246717807705,-0.0010064093537609509,-0.02810313788704555,0.00644592369462238,0.009825565090582633,0.0020401487918395578,0.004759453541196779
inverse_test_group_size,student_A,1001,E2_KD_from_MLP,D_Small_MLP,0.9185982544129547,0.9172472539773684,0.0013510004355863359,-0.007010609527771883,0.01175165696233893,-0.0015379549680385463,0.00024208103207234988,0.0033098286793307174
inverse_test_group_size,student_A,2024,E2_KD_from_MLP,D_Small_MLP,0.9113032968132971,0.9148362783742531,-0.003532981560955939,-0.026388946468059116,0.011971351478957448,0.002684109782248978,0.0005748456361035492,-0.006506268234030332
inverse_test_group_size,student_A,3141,E2_KD_from_MLP,D_Small_MLP,0.9119225161412204,0.9119944117850907,-7.18956438702234e-05,-0.0071758749724852855,0.004631610348116544,0.0004883223419779315,0.00028234198071097616,0.001414122082328939
inverse_test_group_size,student_A,5678,E2_KD_from_MLP,D_Small_MLP,0.9129471510758904,0.9252336606016843,-0.01228650952579391,-0.04003397763688843,0.001854471161401805,-0.022939955143345347,0.0002218234686836018,-0.0005349094788205111
inverse_test_group_size,student_A,8192,E2_KD_from_MLP,D_Small_MLP,0.914477049449062,0.9066555038276043,0.00782154562145776,-0.009951460231311438,-0.001854471161401805,0.039054614987699354,0.0023041707520196075,0.00955487376028219
inverse_test_group_size,student_A,9999,E2_KD_from_MLP,D_Small_MLP,0.913410889101538,0.9172615025119463,-0.0038506134104082657,-0.013241739967238986,0.0037163159655925204,-0.008289788092810668,0.00011091565439080853,-0.0015487706119748923
inverse_test_group_size,student_A,42,F_KD_from_CL_MLP_fair,E2_KD_from_MLP,0.9179644351778252,0.9171429472713133,0.0008214879065119307,0.006355758690336999,0.0027955460791281306,-0.006930139197609653,4.038357162883255e-05,0.0018458903890760103
