view,category,student,route,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd
row_level,student,student_B,I_KD_from_SMOTE_MLP,0.9865952647377488,0.0009002772468057514,0.9041625705616619,0.005658027895841916,0.9374854290853714,0.004936155220407206,0.9196192844251645,0.0050916439514542096
row_level,student,student_B,J_CoDistill_RF_CL,0.9881778298786876,0.001310817413985376,0.9169494930751281,0.007863919803294364,0.9409255361797882,0.006968371831905796,0.9275752509348468,0.007726967650714833
row_level,teacher,,A_RF_500_uncalibrated,0.9967904655334718,5.364561335242546e-05,0.9777043981815694,0.0003572579314060465,0.9821204936269314,0.0003128003475872706,0.9794765359763808,0.00027749254698206224
row_level,teacher,,A_calibrated_RF_KD_teacher,0.9967549421857516,7.15628691895183e-05,0.9785785700705818,0.0006780425474427027,0.9811542411344811,0.0005950524467526978,0.9794999769458613,0.0004892024243454725
row_level,teacher,,B_Full_MLP,0.9870552920907265,0.0003078462413569059,0.9075705411412116,0.002037524143280127,0.9410118910060733,0.001244147801805653,0.9219511672264762,0.0017029063285428287
row_level,teacher,,C2_CL_MLP_domain,0.9858368412639207,0.00045114496209277156,0.9004591780671427,0.0024065147541050018,0.9335214763428263,0.001920794307065603,0.9151457195558217,0.0025162953405405844
row_level,teacher,,C_CL_MLP_loss_ext,0.986598817072521,0.0005357532487593186,0.9055130327664281,0.003464367592681899,0.9392965563686493,0.0033696286704550577,0.9194172308005106,0.003050021805974644
row_level,teacher,,C_CL_MLP_loss_fair,0.9858386174313066,0.0005410787515844445,0.9013670672957778,0.0029803625013631397,0.9352851147915361,0.0023390005390949253,0.9151625947472724,0.0030853380918741706
row_level,teacher,,G_random_pacing_teacher,0.9868155094936146,0.0006852032356060875,0.9062231382281449,0.00439997056893865,0.9405469486735223,0.002756811917100982,0.9205554993161765,0.0039905205215167204
row_level,teacher,,I_SMOTE_MLP_teacher,0.9917674641658231,0.0017379081612069818,0.9349956470212811,0.01037851105269193,0.9691293627824331,0.01042687280727711,0.95118752119864,0.010473929918472884
